"filename", "language", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\mohjam\Desktop\HIDiag-master\src\App.jsx", "JavaScript JSX", 0, 76, 1, 11, 88
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\AuthService.jsx", "JavaScript JSX", 0, 470, 22, 9, 501
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\CreateOTPAuth.jsx", "JavaScript JSX", 0, 134, 12, 21, 167
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\CreatePasswordAuth.jsx", "JavaScript JSX", 0, 130, 12, 22, 164
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\Nav.jsx", "JavaScript JSX", 0, 60, 0, 13, 73
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\RegisterUser.jsx", "JavaScript JSX", 0, 135, 12, 24, 171
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\SwitchTheme.jsx", "JavaScript JSX", 0, 18, 0, 3, 21
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\ViewUsers.jsx", "JavaScript JSX", 0, 95, 13, 16, 124
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\approveciba.jsx", "JavaScript JSX", 0, 510, 7, 23, 540
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\approveotp.jsx", "JavaScript JSX", 0, 235, 1, 13, 249
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\assignDevice.jsx", "JavaScript JSX", 0, 173, 3, 7, 183
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\cloneDevice.jsx", "JavaScript JSX", 0, 120, 3, 18, 141
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\createDevice.jsx", "JavaScript JSX", 0, 168, 13, 20, 201
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\dashboad.jsx", "JavaScript JSX", 0, 101, 0, 5, 106
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\getDevice.jsx", "JavaScript JSX", 0, 110, 3, 17, 130
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\otpAuth.jsx", "JavaScript JSX", 0, 265, 5, 31, 301
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\passwordauth.jsx", "JavaScript JSX", 0, 148, 1, 20, 169
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\provisiondevice.jsx", "JavaScript JSX", 0, 144, 2, 18, 164
"c:\Users\mohjam\Desktop\HIDiag-master\src\components\updateciba.jsx", "JavaScript JSX", 0, 122, 3, 26, 151
"c:\Users\mohjam\Desktop\HIDiag-master\src\css\App.css", "CSS", 10, 0, 0, 2, 12
"c:\Users\mohjam\Desktop\HIDiag-master\src\index.jsx", "JavaScript JSX", 0, 102, 0, 3, 105
"Total", "-", 10, 3316, 113, 322, 3761
